,Image Name,Acc,F1,Jaccard,Recall,Precision
15,ISIC_0010059.jpg,0.9499969482421875,0.7220290100941555,0.5649807513606797,1.0,0.5649807513606797
16,ISIC_0002246.jpg,0.9867401123046875,0.9105691056910569,0.835820895522388,0.9621574597651152,0.8642312951748389
17,ISIC_0000072.jpg,0.9861297607421875,0.9446170718333029,0.8950467613439557,0.9866361206567392,0.906030855539972
18,ISIC_0000449.jpg,0.9979095458984375,0.9701590067523416,0.9420473773265652,0.987145390070922,0.9537473233404711
19,ISIC_0010378.jpg,0.950042724609375,0.7172223181896701,0.5591166172906006,0.947728829034467,0.5769070446019174
20,ISIC_0000300.jpg,0.9717559814453125,0.9699654383488293,0.9416824196597353,0.9791966976805137,0.9609066066548786
21,ISIC_0000456.jpg,0.9458770751953125,0.9048883168423029,0.8262977473065622,0.9973990660282556,0.82808205732234
22,ISIC_0000407.jpg,0.9600830078125,0.9378799392097265,0.8830262922554105,0.9478736680426226,0.9280947457467807
23,ISIC_0010191.jpg,0.966094970703125,0.9559703562794752,0.9156544184634072,0.9629156520697777,0.9491245327562463
24,ISIC_0001142.jpg,0.971771240234375,0.969884421292528,0.9415297092288243,0.9734339770610725,0.9663606578648587
25,ISIC_0000466.jpg,0.964263916015625,0.9458722381436627,0.8973032229774173,1.0,0.8973032229774173
26,ISIC_0011333.jpg,0.9810943603515625,0.9694910245992466,0.9407885304659498,0.9926882154203015,0.9473532242540905
27,ISIC_0007475.jpg,0.964508056640625,0.8483900404119411,0.73669911704777,0.7728298301864387,0.9403265424071666
28,ISIC_0004115.jpg,0.9796142578125,0.8813077469793889,0.7878017789072427,0.9676160749122122,0.8091353996737357
29,ISIC_0009969.jpg,0.9888153076171875,0.9810285477650956,0.962763525527051,0.98308953210914,0.9789761867865076
30,ISIC_0011097.jpg,0.9841156005859375,0.9402170791937058,0.8871789313969871,0.9787183165949307,0.904630345894574
31,ISIC_0009504.jpg,0.9936676025390625,0.9060873500792034,0.82829954489036,0.9975087194818136,0.8300165837479271
32,ISIC_0000381.jpg,0.9240875244140625,0.8721638358557956,0.7733072086029344,0.7733072086029344,1.0
33,ISIC_0011317.jpg,0.98834228515625,0.8871491875923191,0.7971860897265729,1.0,0.7971860897265729
34,ISIC_0010201.jpg,0.96728515625,0.9670265448617391,0.9361581752672483,0.94295312078222,0.9923613522300433
35,ISIC_0010068.jpg,0.9732818603515625,0.9561932400990718,0.9160634677148747,0.9181761399125546,0.9974945192608832
36,ISIC_0000278.jpg,0.465240478515625,0.3846829131259218,0.23814699680441728,0.30303449420486295,0.5265561163181928
37,ISIC_0010225.jpg,0.988616943359375,0.9564404998248277,0.9165174574753805,0.973724884080371,0.9397590361445783
38,ISIC_0001140.jpg,0.989776611328125,0.9826953871584277,0.9659794861379101,0.9948229880248914,0.9708599132431743
39,ISIC_0000229.jpg,0.9715423583984375,0.9664827561418329,0.9351394588578981,0.9668128865238027,0.966152851137221
40,ISIC_0009962.jpg,0.835662841796875,0.8619195363983693,0.757344989185292,0.7583017505865367,0.9983367983367983
41,ISIC_0002948.jpg,0.9969940185546875,0.9730247843352047,0.9474666666666667,0.9742253907321086,0.9718271334792122
42,ISIC_0008998.jpg,0.96099853515625,0.9482171799027553,0.90153324601279,0.9913161350446902,0.9087096648934104
43,ISIC_0007693.jpg,0.9897613525390625,0.9094100175509653,0.8338697697449864,0.9399944180854033,0.8807531380753139
44,ISIC_0011380.jpg,0.9250335693359375,0.8582393167325504,0.7516805660854182,0.8585118051145876,0.8579670012691819
45,ISIC_0009871.jpg,0.899200439453125,0.8556948752675958,0.7477855833842395,0.7477855833842395,1.0
46,ISIC_0011146.jpg,0.7890625,0.5568378534333526,0.3858456617353059,0.9888420812934077,0.3875329079469903
47,ISIC_0011361.jpg,0.843902587890625,0.894982137724305,0.8099254937663737,0.8130222321695016,0.9953192072335373
48,ISIC_0010020.jpg,0.911773681640625,0.8953332609246587,0.8105007865757735,0.8105804844472123,0.9998787045647516
49,ISIC_0009909.jpg,0.9729766845703125,0.9349590510117889,0.8778620689655172,0.9559176930009011,0.9148997340616689
50,ISIC_0002879.jpg,0.972381591796875,0.783129642942727,0.6435604568727845,0.6435604568727845,1.0
51,ISIC_0010070.jpg,0.913116455078125,0.825004609994468,0.7021343377275581,0.7021343377275581,1.0
52,ISIC_0010054.jpg,0.9553070068359375,0.9247565956790917,0.8600439602446484,0.8813534423660758,0.9726560389084031
53,ISIC_0009946.jpg,0.921661376953125,0.8333441537362851,0.7143016138007791,0.7148585431053687,0.9989105058365759
54,ISIC_0000091.jpg,0.8374176025390625,0.6253911331434799,0.45495933295820756,0.9897618517694191,0.45711055147247776
55,ISIC_0000495.jpg,0.9952239990234375,0.9882749578572767,0.976821682464455,0.9805976806422837,0.9960733972664804
56,ISIC_0010223.jpg,0.9580078125,0.9177967620526913,0.8480817002484129,0.8485501242750622,0.9993495088792038
57,ISIC_0000112.jpg,0.9693756103515625,0.917883883638149,0.8482304900181489,0.8489366532959963,0.9990203063769149
58,ISIC_0011135.jpg,0.97711181640625,0.9386302266590295,0.8843574126898466,0.9994772153001655,0.8847666795217894
59,ISIC_0011384.jpg,0.9691925048828125,0.919022981590663,0.8501780943900267,0.9989537012817159,0.8509358288770054
60,ISIC_0000546.jpg,0.9033203125,0.8709572301425661,0.7714120787935638,1.0,0.7714120787935638
61,ISIC_0009978.jpg,0.9654541015625,0.910265556876734,0.8353095220775442,0.8737635063156293,0.9499503639973528
62,ISIC_0000515.jpg,0.9200592041015625,0.9029149602505421,0.8230127360562143,0.8270079435127978,0.9941644562334218
63,ISIC_0000240.jpg,0.98931884765625,0.9689109966246224,0.9396967608545831,0.9702899839886141,0.9675359233634913
64,ISIC_0000049.jpg,0.8198699951171875,0.8405182313127356,0.7249085358749097,0.7257541469332525,0.9983952756916362
65,ISIC_0010581.jpg,0.907958984375,0.7941437444543035,0.6585724797645327,1.0,0.6585724797645327
66,ISIC_0010360.jpg,0.929840087890625,0.8695676841030295,0.7692346298619824,0.7692346298619824,1.0
67,ISIC_0010204.jpg,0.7655181884765625,0.8643868861139302,0.7611631774451749,0.7611631774451749,1.0
68,ISIC_0000061.jpg,0.9867095947265625,0.9785123966942149,0.9579288025889967,0.9626717149652929,0.9948831142771145
